N_Accidente;Pais;Ciudad;Fecha;Horario_de_ocurrencia;Urbano/Rural;Tipo_de_Camino;Condiciones_climaticas;Numero_de_vehiculos_involucrados ;Velocidad_Limite;Edad_del_conductor;Sexo_del_conductor;Peatones_involucrados;Ciclistas_involucrados ;Gravedad_del_accidente;Numero_de_lesiones;Numero_de_muertes;Causa_del_accidente
1;Brasil;Puerto Alegre;31-01-2022;Manana;Urbano;Calle;Lluvioso;3;66;42;Femenino;2;1;No Grave;8;3;Clima
2;Brasil;Puerto Alegre;02-05-2022;Manana;Rural;Carretera principal;Ventoso;4;79;16;Masculino;1;0;Grave;0;2;Falla mecanica
3;Brasil;Puerto Alegre;31-03-2022;Manana;Urbano;Calle;Nevoso;1;105;31;Masculino;2;0;Grave;3;2;Exceso de velocidad
4;Brasil;Belo Horizonte;03-07-2022;Noche;Rural;Carretera;Neblinoso;4;56;56;Masculino;0;0;Grave;6;1;Falla mecanica
5;Brasil;Puerto Alegre;02-05-2022;Noche;Urbano;Carretera;Neblinoso;1;42;62;Femenino;0;1;Grave;1;1;Conducir distraido
6;Brasil;Sao Paulo;31-01-2022;Noche;Rural;Carretera principal;Despejado;1;88;61;Masculino;2;1;Grave;1;1;Falla mecanica
7;Brasil;Rio De Janeiro;24-06-2022;Manana;Urbano;Carretera principal;Neblinoso;4;43;33;Masculino;2;2;Grave;15;4;Conducir en estado de ebriedad
8;Brasil;Rio De Janeiro;01-02-2022;Manana;Rural;Carretera principal;Neblinoso;4;71;24;Femenino;1;2;Grave;6;2;Falla mecanica
9;Brasil;Rio De Janeiro;01-07-2022;Tarde;Rural;Carretera;Despejado;1;98;60;Masculino;1;2;Grave;4;1;Clima
10;Brasil;Salvador de Bahia;03-05-2022;Manana;Urbano;Carretera;Nevoso;2;60;31;Masculino;2;0;No Grave;11;3;Exceso de velocidad
11;Brasil;Puerto Alegre;05-08-2022;Tarde;Rural;Carretera principal;Despejado;3;43;57;Masculino;0;1;Grave;7;4;Falla mecanica
12;Brasil;Puerto Alegre;07-04-2022;Tarde;Urbano;Carretera;Ventoso;2;96;17;Masculino;2;1;Grave;12;0;Conducir distraido
13;Brasil;Puerto Alegre;28-04-2022;Noche;Urbano;Calle;Nevoso;3;79;18;Femenino;0;0;No Grave;2;4;Clima
14;Brasil;Puerto Alegre;06-10-2022;Manana;Urbano;Calle;Ventoso;3;56;54;Femenino;2;1;Grave;13;4;Exceso de velocidad
15;Brasil;Rio De Janeiro;12-12-2022;Noche;Rural;Calle;Nevoso;4;34;17;Femenino;1;2;No Grave;5;4;Clima
16;Brasil;Sao Paulo;01-11-2022;Tarde;Urbano;Carretera principal;Despejado;3;98;75;Femenino;0;1;Grave;11;1;Conducir en estado de ebriedad
17;Brasil;Rio De Janeiro;02-09-2022;Noche;Urbano;Carretera principal;Nevoso;1;104;17;Masculino;1;1;Grave;8;1;Conducir en estado de ebriedad
18;Brasil;Sao Paulo;02-11-2022;Tarde;Urbano;Calle;Neblinoso;3;58;51;Femenino;1;0;Grave;9;3;Falla mecanica
19;Brasil;Sao Paulo;12-06-2022;Noche;Urbano;Carretera;Ventoso;4;67;16;Masculino;1;1;Grave;0;1;Conducir distraido
20;Brasil;Rio De Janeiro;05-06-2022;Manana;Rural;Carretera;Ventoso;3;78;45;Femenino;2;0;No Grave;3;0;Clima
