N_Accidente;Pais;Ciudad;Fecha;Horario_de_ocurrencia;Urbano/Rural;Tipo_de_Camino;Condiciones_climaticas;Numero_de_vehiculos_involucrados ;Velocidad_Limite;Edad_del_conductor;Sexo_del_conductor;Peatones_involucrados;Ciclistas_involucrados ;Accidente_Grave;Numero_de_lesiones;Numero_de_muertes;Causa_del_accidente;Riesgo_peatones;Joven_inexperto
1;Brasil;Puerto Alegre;44592;Manana;Urbano;Calle;Lluvioso;3;66;42;Femenino;2;1;No grave;8;3;Clima;132;No
2;Brasil;Puerto Alegre;44683;Manana;Urbano;Calle;Lluvioso;4;79;16;Masculino;1;0;Grave;0;2;Falla tecnica;79;Si
3;Brasil;Puerto Alegre;44651;Manana;Urbano;Calle;Nevoso;1;105;31;Masculino;2;0;Grave;3;2;Error humano;210;No
4;Brasil;Belo Horizonte;44745;Noche;Rural;Carretera;Neblinoso;4;56;56;Masculino;0;0;No grave;6;1;Falla tecnica;0;No
5;Brasil;Puerto Alegre;44683;Noche;Urbano;Carretera;Neblinoso;1;42;62;Femenino;0;1;Grave;1;1;Error humano;0;No
6;Brasil;Sao Paulo;44592;Noche;Rural;Carretera;Despejado;1;88;61;Masculino;2;1;Grave;1;1;Falla tecnica;176;No
7;Brasil;Rio De Janeiro;44736;Manana;Urbano;Calle;Neblinoso;4;43;33;Masculino;2;2;Grave;15;4;Error humano;86;No
8;Brasil;Rio De Janeiro;44593;Manana;Urbano;Calle;Neblinoso;4;71;24;Femenino;1;2;Grave;6;2;Falla tecnica;71;Si
9;Brasil;Rio De Janeiro;44743;Tarde;Rural;Carretera;Despejado;1;98;60;Masculino;1;2;Grave;4;1;Clima;98;No
10;Brasil;Salvador de Bahia;44684;Manana;Urbano;Carretera;Nevoso;2;60;31;Masculino;2;0;No grave;11;3;Error humano;120;No
11;Brasil;Puerto Alegre;44778;Tarde;Rural;Carretera;Despejado;3;43;57;Masculino;0;1;No grave;7;4;Falla tecnica;0;No
12;Brasil;Puerto Alegre;44658;Tarde;Urbano;Carretera;Lluvioso;2;96;17;Masculino;2;1;Grave;12;0;Error humano;192;Si
13;Brasil;Puerto Alegre;44679;Noche;Urbano;Calle;Nevoso;3;79;18;Femenino;0;0;Grave;2;4;Clima;0;Si
14;Brasil;Puerto Alegre;44840;Manana;Urbano;Calle;Lluvioso;3;56;54;Femenino;2;1;Grave;13;4;Error humano;112;No
15;Brasil;Rio De Janeiro;44907;Noche;Urbano;Calle;Nevoso;4;34;17;Femenino;1;2;No grave;5;4;Clima;34;Si
16;Brasil;Sao Paulo;44866;Tarde;Urbano;Carretera;Despejado;3;98;75;Femenino;0;1;Grave;11;1;Error humano;0;No
17;Brasil;Rio De Janeiro;44806;Noche;Urbano;Calle;Nevoso;1;104;17;Masculino;1;1;Grave;8;1;Error humano;104;Si
18;Brasil;Sao Paulo;44867;Tarde;Urbano;Calle;Neblinoso;3;58;51;Femenino;1;0;No grave;9;3;Falla tecnica;58;No
19;Brasil;Sao Paulo;44724;Noche;Urbano;Carretera;Lluvioso;4;67;16;Masculino;1;1;Grave;0;1;Error humano;67;Si
20;Brasil;Rio De Janeiro;44717;Manana;Rural;Carretera;Lluvioso;3;78;45;Femenino;2;0;Grave;3;0;Clima;156;No
